supply_structure,pricing_structure,producer_npv,consumer_npv,total_volume_mwh,average_strike_eur_mwh,capture_rate,volume_value,profile_value,path,mode,label
Baseload,FixedFlat,-1036157.5116121215,1036157.5116121215,445066.5622600468,64.99999999999999,0.7410092478138068,-710483.559950258,-325673.9516618635,116,joint,Baseload / FixedFlat
Baseload,FixedEscalated,819010.1944428459,-819010.1944428459,445066.5622600468,71.17379605473558,0.7410092478138068,1342303.6017908766,-523293.4073480307,116,joint,Baseload / FixedEscalated
Baseload,IndexedWithFloorCap,-122261.37913380867,122261.37913380867,445066.5622600468,67.05307429239251,0.7410092478138068,-27836.366528408675,-94425.0126054,116,joint,Baseload / IndexedWithFloorCap
Baseload,Floating,0.0,-0.0,445066.5622600468,67.13679268904572,0.7410092478138068,0.0,0.0,116,joint,Baseload / Floating
PayAsProduced,FixedFlat,4709144.267778674,-4709144.267778674,443150.2665850462,65.0,0.7383991567545756,5097697.310806051,-388553.04302737676,117,joint,PayAsProduced / FixedFlat
PayAsProduced,FixedEscalated,6548212.610350462,-6548212.610350462,443150.2665850462,71.13562660189312,0.7383991567545756,7129009.214770995,-580796.6044205334,117,joint,PayAsProduced / FixedEscalated
PayAsProduced,IndexedWithFloorCap,2867982.0041256677,-2867982.0041256677,443150.2665850462,58.97230788113494,0.7383991567545756,3102119.100308624,-234137.09618295636,117,joint,PayAsProduced / IndexedWithFloorCap
PayAsProduced,Floating,0.0,-0.0,443150.2665850462,49.60228231443456,0.7383991567545756,0.0,0.0,117,joint,PayAsProduced / Floating
PayAsNominated,FixedFlat,1688492.082884118,-1688492.082884118,443150.26658504625,64.99999999999999,0.7383991567545756,2009297.4960456605,-320805.4131615425,117,joint,PayAsNominated / FixedFlat
PayAsNominated,FixedEscalated,3527584.2268551867,-3527584.2268551867,443150.26658504625,71.13562660189311,0.7383991567545756,4040609.4000106053,-513025.1731554186,117,joint,PayAsNominated / FixedEscalated
PayAsNominated,IndexedWithFloorCap,585390.0234385277,-585390.0234385277,443150.26658504625,61.08871921663095,0.7383991567545756,714396.1386919627,-129006.11525343498,117,joint,PayAsNominated / IndexedWithFloorCap
PayAsNominated,Floating,0.0,-0.0,443150.26658504625,58.93086844822243,0.7383991567545756,0.0,0.0,117,joint,PayAsNominated / Floating
Baseload,FixedFlat,-1047051.9207972348,1047051.9207972348,443150.2665850461,65.00000000000001,0.7383991567545756,-720216.7153967492,-326835.20540048555,117,joint,Baseload / FixedFlat
Baseload,FixedEscalated,800128.1039692052,-800128.1039692052,443150.2665850461,71.17379605473562,0.7383991567545756,1323731.8871415467,-523603.78317234153,117,joint,Baseload / FixedEscalated
Baseload,IndexedWithFloorCap,-124740.04033297428,124740.04033297428,443150.2665850461,67.08939320419297,0.7383991567545756,-28484.710970162785,-96255.32936281149,117,joint,Baseload / IndexedWithFloorCap
Baseload,Floating,0.0,-0.0,443150.2665850461,67.17543196073973,0.7383991567545756,0.0,0.0,117,joint,Baseload / Floating
PayAsProduced,FixedFlat,4589985.726069902,-4589985.726069902,445082.9545651559,65.0,0.7440022646844897,4963241.769850662,-373256.0437807599,118,joint,PayAsProduced / FixedFlat
PayAsProduced,FixedEscalated,6426716.147027432,-6426716.147027432,445082.9545651559,71.09360167014812,0.7440022646844897,6989438.92344558,-562722.7764181476,118,joint,PayAsProduced / FixedEscalated
PayAsProduced,IndexedWithFloorCap,2816461.9821494133,-2816461.9821494133,445082.9545651559,59.22109574687743,0.7440022646844897,3041685.359963124,-225223.37781371083,118,joint,PayAsProduced / IndexedWithFloorCap
PayAsProduced,Floating,0.0,-0.0,445082.9545651559,50.07350665040104,0.7440022646844897,0.0,0.0,118,joint,PayAsProduced / Floating
PayAsNominated,FixedFlat,1573842.4344078903,-1573842.4344078903,445082.95456515584,65.00000000000001,0.7440022646844897,1893604.820411679,-319762.3860037888,118,joint,PayAsNominated / FixedFlat
PayAsNominated,FixedEscalated,3410596.5023326273,-3410596.5023326273,445082.95456515584,71.09360167014812,0.7440022646844897,3919801.9740065928,-509205.47167396545,118,joint,PayAsNominated / FixedEscalated
PayAsNominated,IndexedWithFloorCap,551296.423605474,-551296.423605474,445082.95456515584,61.34923537501001,0.7440022646844897,679680.8897029031,-128384.46609742916,118,joint,PayAsNominated / IndexedWithFloorCap
PayAsNominated,Floating,0.0,-0.0,445082.95456515584,59.30515758262289,0.7440022646844897,0.0,0.0,118,joint,PayAsNominated / Floating
Baseload,FixedFlat,-1095895.4635173948,1095895.4635173948,445082.95456515613,64.99999999999996,0.7440022646844897,-765740.9363732854,-330154.5271441095,118,joint,Baseload / FixedFlat
Baseload,FixedEscalated,759340.5704634262,-759340.5704634262,445082.95456515613,71.17379605473558,0.7440022646844897,1287121.8318418858,-527781.2613784596,118,joint,Baseload / FixedEscalated
Baseload,IndexedWithFloorCap,-140193.08284305356,140193.08284305356,445082.95456515613,67.17442253401525,0.7440022646844897,-42718.82439015242,-97474.25845290115,118,joint,Baseload / IndexedWithFloorCap
Baseload,Floating,0.0,-0.0,445082.95456515613,67.30289547120636,0.7440022646844897,0.0,0.0,118,joint,Baseload / Floating
PayAsProduced,FixedFlat,4680510.9800521545,-4680510.9800521545,444423.44913066336,65.00000000000001,0.7407368541292926,5069311.128857632,-388800.14880547766,119,joint,PayAsProduced / FixedFlat
PayAsProduced,FixedEscalated,6530332.476240259,-6530332.476240259,444423.44913066336,71.1497117972955,0.7407368541292926,7111135.606235276,-580803.1299950173,119,joint,PayAsProduced / FixedEscalated
PayAsProduced,IndexedWithFloorCap,2875009.912547939,-2875009.912547939,444423.44913066336,59.08008972735994,0.7407368541292926,3103785.247812009,-228775.33526406996,119,joint,PayAsProduced / IndexedWithFloorCap
PayAsProduced,Floating,0.0,-0.0,444423.44913066336,49.73188915173774,0.7407368541292926,0.0,0.0,119,joint,PayAsProduced / Floating
PayAsNominated,FixedFlat,1675956.182943251,-1675956.182943251,444423.44913066336,65.0,0.7407368541292926,2003771.648121843,-327815.46517859213,119,joint,PayAsNominated / FixedFlat
PayAsNominated,FixedEscalated,3525801.5520333005,-3525801.5520333005,444423.44913066336,71.1497117972955,0.7407368541292926,4045596.125499492,-519794.57346619153,119,joint,PayAsNominated / FixedEscalated
PayAsNominated,IndexedWithFloorCap,582970.2929084693,-582970.2929084693,444423.44913066336,61.10390938262741,0.7407368541292926,710193.4365166681,-127223.14360819873,119,joint,PayAsNominated / IndexedWithFloorCap
PayAsNominated,Floating,0.0,-0.0,444423.44913066336,58.964898413125454,0.7407368541292926,0.0,0.0,119,joint,PayAsNominated / Floating
Baseload,FixedFlat,-1045668.9110164441,1045668.9110164441,444423.4491306633,65.00000000000001,0.7407368541292926,-709991.4542686095,-335677.45674783457,119,joint,Baseload / FixedFlat
Baseload,FixedEscalated,806818.1112708778,-806818.1112708778,444423.4491306633,71.17379605473559,0.7407368541292926,1339829.4671671565,-533011.3558962788,119,joint,Baseload / FixedEscalated
Baseload,IndexedWithFloorCap,-126086.35720796778,126086.35720796778,444423.4491306633,67.04657972205963,0.7407368541292926,-30486.997938835433,-95599.35926913234,119,joint,Baseload / IndexedWithFloorCap
Baseload,Floating,0.0,-0.0,444423.4491306633,67.1384026250397,0.7407368541292926,0.0,0.0,119,joint,Baseload / Floating
PayAsProduced,FixedFlat,4690636.146641047,-4690636.146641047,445043.5542720573,65.0,0.7420190007554426,5052656.9796667425,-362020.83302569576,120,joint,PayAsProduced / FixedFlat
PayAsProduced,FixedEscalated,6527882.739796184,-6527882.739796184,445043.5542720573,71.09054819279392,0.7420190007554426,7077659.538511977,-549776.7987157926,120,joint,PayAsProduced / FixedEscalated
PayAsProduced,IndexedWithFloorCap,2855658.0652749576,-2855658.0652749576,445043.5542720573,59.065935797827876,0.7420190007554426,3079682.657262091,-224024.5919871335,120,joint,PayAsProduced / IndexedWithFloorCap
PayAsProduced,Floating,0.0,-0.0,445043.5542720573,49.803253357928824,0.7420190007554426,0.0,0.0,120,joint,PayAsProduced / Floating
PayAsNominated,FixedFlat,1681085.8062081093,-1681085.8062081093,445043.55427205726,65.0,0.7420190007554426,1989558.1344756756,-308472.3282675664,120,joint,PayAsNominated / FixedFlat
PayAsNominated,FixedEscalated,3518356.104275804,-3518356.104275804,445043.55427205726,71.09054819279395,0.7420190007554426,4014560.6933209198,-496204.58904511575,120,joint,PayAsNominated / FixedEscalated
PayAsNominated,IndexedWithFloorCap,569651.571607603,-569651.571607603,445043.55427205726,61.11341114880719,0.7420190007554426,697334.1638720648,-127682.5922644618,120,joint,PayAsNominated / IndexedWithFloorCap
PayAsNominated,Floating,0.0,-0.0,445043.55427205726,59.016057092145445,0.7420190007554426,0.0,0.0,120,joint,PayAsNominated / Floating
Baseload,FixedFlat,-1031275.4396987584,1031275.4396987584,445043.5542720573,64.99999999999999,0.7420190007554426,-704387.7034439133,-326887.73625484516,120,joint,Baseload / FixedFlat
Baseload,FixedEscalated,823796.3623276458,-823796.3623276458,445043.5542720573,71.17379605473558,0.7420190007554426,1348293.3382100991,-524496.9758824534,120,joint,Baseload / FixedEscalated
Baseload,IndexedWithFloorCap,-127921.64373531124,127921.64373531124,445043.5542720573,67.02728745053156,0.7420190007554426,-30349.48144963635,-97572.16228567489,120,joint,Baseload / IndexedWithFloorCap
Baseload,Floating,0.0,-0.0,445043.5542720573,67.11856880649228,0.7420190007554426,0.0,0.0,120,joint,Baseload / Floating
PayAsProduced,FixedFlat,4728402.652785076,-4728402.652785076,446055.2362986868,65.0,0.739749731681995,5102546.33076397,-374143.67797889374,121,joint,PayAsProduced / FixedFlat
PayAsProduced,FixedEscalated,6570446.879229652,-6570446.879229652,446055.2362986868,71.09734804533673,0.739749731681995,7134418.139897694,-563971.2606680421,121,joint,PayAsProduced / FixedEscalated
PayAsProduced,IndexedWithFloorCap,2874616.1493531484,-2874616.1493531484,446055.2362986868,58.99643857189296,0.739749731681995,3101927.8439280866,-227311.69457493816,121,joint,PayAsProduced / IndexedWithFloorCap
PayAsProduced,Floating,0.0,-0.0,446055.2362986868,49.688009963882415,0.739749731681995,0.0,0.0,121,joint,PayAsProduced / Floating
PayAsNominated,FixedFlat,1665217.7265568117,-1665217.7265568117,446055.2362986868,65.0,0.739749731681995,1981706.268998082,-316488.5424412703,121,joint,PayAsNominated / FixedFlat
PayAsNominated,FixedEscalated,3507285.7788106604,-3507285.7788106604,446055.2362986868,71.09734804533674,0.739749731681995,4013578.0781318108,-506292.2993211504,121,joint,PayAsNominated / FixedEscalated
PayAsNominated,IndexedWithFloorCap,572823.461736419,-572823.461736419,446055.2362986868,61.157403729767395,0.739749731681995,701204.8153637688,-128381.35362734983,121,joint,PayAsNominated / IndexedWithFloorCap
PayAsNominated,Floating,0.0,-0.0,446055.2362986868,59.05319135223468,0.739749731681995,0.0,0.0,121,joint,PayAsNominated / Floating
Baseload,FixedFlat,-1048126.1365572552,1048126.1365572552,446055.23629868706,64.99999999999996,0.739749731681995,-722686.5454522861,-325439.59110496903,121,joint,Baseload / FixedFlat
